cidade,area,quartos,banheiro,vagas_estacionamento,andar,valor_total
São Paulo,70,2,1,1,7,5618
São Paulo,,4,4,0,20,7973
Porto Alegre,80,1,1,1,6,3841
Porto Alegre,51,2,1,0,2,1421
São Paulo,25,,,0,1,836
São Paulo,376,3,3,7,-,8955
Rio de Janeiro,72,2,1,0,7,
São Paulo,213,4,4,4,4,7253
São Paulo,152,2,2,1,3,16440
Rio de Janeiro,,1,1,0,2,2955
São Paulo,26,1,1,0,2,
Campinas,46,1,1,1,10,1181
São Paulo,36,1,1,0,11,2556
São Paulo,55,1,1,1,2,5268
São Paulo,100,2,2,2,24,5343
Campinas,330,4,6,6,-,9129
